,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
47,49,LR,LBR,Liberia,2013,LBRt,Total,30.9,5.8,4.3,7.4,56.2,,48.3,10.4,16.8,68.4,10.3,23.0,48.1,8.2,46.3,3.6,27.1,18.3,56.9,32.2,22.6,14.9,11.3,7.8,5.8,3.1,1.5,0.6,0.2,,,0,,
48,50,LR,LBR,Liberia,2013,LBRtr,Rural,19.3,3.7,2.1,5.3,0.0,,30.9,6.8,3.3,48.1,1.5,19.4,50.3,1.6,76.0,0.1,43.9,2.5,78.1,35.3,19.5,12.6,11.2,8.4,6.5,3.7,1.9,0.6,0.2,,,0,,
49,51,LR,LBR,Liberia,2013,LBRtu,Urban,40.0,7.4,5.9,8.9,100.0,,63.4,13.5,27.3,84.4,17.2,25.9,46.3,13.4,23.0,6.4,14.0,30.7,40.2,29.7,25.1,16.7,11.3,7.4,5.3,2.7,1.2,0.5,0.2,,,0,,
50,52,LR,LBR,Liberia,2013,LBRr101,Bomi,22.4,4.8,3.0,6.7,22.6,,44.9,9.4,5.6,55.8,0.4,25.2,43.3,2.7,56.1,0.0,20.2,3.1,73.2,34.3,23.1,13.1,10.3,7.2,5.9,3.4,1.7,0.7,0.2,,,5513,Bomi,ADM1
51,53,LR,LBR,Liberia,2013,LBRr102,Bong,19.5,3.3,1.8,4.9,38.9,,19.8,4.9,2.4,56.8,0.0,26.4,42.8,1.2,73.3,0.2,43.6,2.8,78.1,34.9,19.1,12.3,11.8,8.2,6.9,4.1,2.1,0.7,0.0,,,5514,Bong,ADM1
52,54,LR,LBR,Liberia,2013,LBRr103,Gbarpolu,18.2,3.8,2.1,5.5,20.5,,33.2,9,1.9,38.0,2.0,23.8,47.9,1.0,79.9,0.0,40.1,2.7,71.6,35.1,19.5,13.3,12.2,8.5,5.0,4.0,1.9,0.4,0.0,,,5515,Gbarpolu,ADM1
53,55,LR,LBR,Liberia,2013,LBRr104,Grand Bassa,22.7,3.8,2.2,5.2,35.2,,39.6,10.1,10.7,54.2,3.4,35.8,30.6,4.3,61.9,0.5,53.1,10.5,68.6,32.5,20.8,11.9,11.3,9.2,7.8,3.6,1.9,0.6,0.4,,,5516,Grand Bassa,ADM1
54,56,LR,LBR,Liberia,2013,LBRr105,Grand Cape Mount,21.3,3.3,1.6,4.9,6.2,,52.8,5.3,3.7,51.1,3.2,13.4,58.4,0.8,68.1,0.0,36.8,1.0,80.5,37.8,18.4,12.0,12.6,8.4,5.4,3.5,1.5,0.3,0.2,,,5517,Grand Cape Mount,ADM1
55,57,LR,LBR,Liberia,2013,LBRr106,Grand Gedeh,23.9,5.3,3.8,6.8,46.6,,41,10.9,5.5,50.9,2.2,16.6,58.8,2.6,69.5,0.0,13.6,1.9,64.1,32.2,21.0,14.0,11.1,6.8,6.7,4.4,2.4,1.1,0.4,,,5518,Grand Gedeh,ADM1
56,58,LR,LBR,Liberia,2013,LBRr107,Grand Kru,18.2,4.8,2.4,7.2,4.6,,47.8,9.8,2.8,48.3,0.5,12.6,58.2,4.0,81.4,0.0,65.8,0.5,78.3,34.5,20.9,12.7,11.0,9.3,6.2,3.5,1.4,0.4,0.0,,,5519,Grand Kru,ADM1
57,59,LR,LBR,Liberia,2013,LBRr108,Lofa,20.9,3.9,2.0,5.9,30.9,,15.6,9.9,0.7,43.3,0.9,8.8,70.9,0.9,73.2,0.2,26.9,2.9,66.2,33.2,20.8,14.1,11.2,6.9,6.4,3.4,2.5,1.2,0.4,,,5520,Lofa,ADM1
58,60,LR,LBR,Liberia,2013,LBRr109,Margibi,32.8,5.1,3.3,6.9,43.0,,49.8,10.4,17.6,76.1,7.9,15.4,36.2,7.3,39.9,0.3,26.2,27.5,48.6,32.4,24.3,13.7,10.5,9.2,5.1,2.7,1.4,0.6,0.1,,,5521,Margibi,ADM1
59,61,LR,LBR,Liberia,2013,LBRr110,Maryland,26.2,5.7,4.0,7.3,52.4,,45.1,10.7,7.7,63.3,2.0,21.5,53.4,2.9,53.6,0.2,12.3,2.0,57.7,33.0,25.7,14.3,10.0,7.3,4.9,2.9,1.5,0.2,0.1,,,5522,Maryland,ADM1
60,62,LR,LBR,Liberia,2013,LBRr111,Montserrado,45.9,8.2,6.9,9.5,93.4,,71.7,16,39.0,92.3,26.2,31.3,40.4,19.7,13.0,10.5,14.6,42.0,31.7,28.1,25.8,18.4,11.8,7.3,4.8,2.5,1.0,0.3,0.1,,,5523,Montserrado,ADM1
61,63,LR,LBR,Liberia,2013,LBRr112,Nimba,25.9,5.4,4.2,6.7,61.9,,38.3,5.3,2.9,62.4,0.7,12.8,66.6,0.8,51.7,0.0,18.5,4.7,70.8,35.1,20.9,13.4,9.6,7.5,6.6,3.4,1.9,1.1,0.6,,,5524,Nimba,ADM1
62,64,LR,LBR,Liberia,2013,LBRr113,River Cess,15.3,3.5,1.6,5.3,4.4,,36.6,5.5,2.2,41.0,2.8,19.3,55.7,0.8,92.4,0.0,75.9,0.1,89.6,37.2,19.8,12.9,11.2,7.8,5.9,3.0,1.5,0.3,0.5,,,77115,River Cess County,ADM1
63,65,LR,LBR,Liberia,2013,LBRr114,River Gee,21.9,4.7,3.0,6.2,23.9,,43.6,8,5.0,50.4,3.4,17.7,47.9,0.4,74.5,0.3,39.5,1.4,60.9,33.9,17.2,15.3,13.8,7.8,6.1,3.7,1.8,0.3,0.0,,,5525,River Gee,ADM1
64,66,LR,LBR,Liberia,2013,LBRr115,Sinoe,17.5,4.6,2.6,6.4,17.5,,41.2,9,4.5,34.7,5.0,23.9,46.0,1.6,84.7,0.4,49.1,1.3,79.5,33.8,20.6,13.0,12.0,7.8,7.9,3.0,1.0,0.8,0.2,,,5526,Sinoe,ADM1
