,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
35,37,,GNB,Guinea Bissau,2006,GNBt,Total,28.1,3.1,2.1,4.4,35.5,, , ,15.5,26.1,15.1,8.6,73.1,2.2,66.7,10.8,41.2,11.4,30.9,31.2,23.8,17.2,10.5,7.0,5.2,3.1,1.3,0.5,0.1,,,0,,
36,38,,GNB,Guinea Bissau,2006,GNBtr,Rural,18.8,1.5,0.6,2.7,0.0,, , ,4.5,8.8,3.1,5.8,81.7,0.2,90.2,0.6,53.2,1.9,46.4,33.9,22.3,15.0,10.2,7.0,5.6,3.7,1.7,0.6,0.1,,,0,,
37,39,,GNB,Guinea Bissau,2006,GNBtu,Urban,45.0,5.5,4.3,6.8,100.0,, , ,35.6,57.9,37.0,13.6,57.5,5.9,23.9,29.6,19.0,29.0,2.4,26.4,26.7,21.1,11.0,7.1,4.6,2.0,0.7,0.3,0.1,,,0,,
38,40,,GNB,Guinea Bissau,2006,GNBr101,Tombali,19.6,1.6,0.5,3.2,12.7,, , ,4.2,5.0,4.6,2.6,86.8,0.0,91.2,0.0,51.2,3.8,39.9,33.9,19.6,14.8,11.5,9.2,6.0,3.3,1.4,0.4,0.0,,,0,,
39,41,,GNB,Guinea Bissau,2006,GNBr102,Quinará,20.6,1.6,0.9,2.7,22.2,, , ,6.2,11.6,3.6,2.4,86.7,0.0,89.5,0.0,28.0,2.6,33.9,34.3,18.8,14.2,11.2,9.1,7.1,3.7,1.1,0.4,0.1,,,0,,
40,42,,GNB,Guinea Bissau,2006,GNBr103,Oio,18.0,1.5,0.6,2.7,12.3,, , ,4.8,8.4,5.0,1.8,88.5,0.4,92.1,2.9,76.3,2.6,55.6,33.3,21.9,15.9,10.3,7.0,5.5,3.7,1.8,0.5,0.1,,,0,,
41,43,,GNB,Guinea Bissau,2006,GNBr104,Biombo,17.5,2.2,0.9,3.8,9.8,, , ,6.5,15.5,3.6,7.6,75.7,0.0,90.2,0.0,44.0,3.0,64.6,33.6,23.4,17.4,9.7,6.0,4.2,3.4,1.7,0.3,0.2,,,0,,
42,44,,GNB,Guinea Bissau,2006,GNBr105,Bolama,19.5,2.9,1.9,4.2,20.9,, , ,9.6,8.9,6.1,11.8,65.1,0.8,85.4,0.8,52.7,6.5,40.0,32.8,25.9,13.3,11.2,7.3,4.3,3.1,1.4,0.7,0.1,,,0,,
43,45,,GNB,Guinea Bissau,2006,GNBr106,Bafatá,23.0,1.4,0.6,2.3,17.6,, , ,4.6,12.2,4.9,6.0,80.4,0.4,80.3,0.0,33.0,2.4,20.7,32.9,23.4,14.9,9.4,6.9,5.9,3.8,2.0,0.6,0.0,,,0,,
44,46,,GNB,Guinea Bissau,2006,GNBr107,Gabú,23.7,1.2,0.6,2.0,14.5,, , ,8.7,14.1,7.7,13.0,68.7,0.4,77.1,0.1,41.4,4.5,22.8,34.9,24.0,14.9,10.1,6.5,5.1,2.7,1.0,0.6,0.1,,,0,,
45,47,,GNB,Guinea Bissau,2006,GNBr108,Cacheu,22.1,3.0,1.7,4.6,15.8,, , ,8.2,18.2,7.0,5.4,82.0,1.0,78.7,1.3,53.3,2.6,43.1,31.5,24.3,14.9,10.0,6.8,6.2,3.9,1.7,0.7,0.2,,,0,,
46,48,,GNB,Guinea Bissau,2006,GNBr109,Bissau,51.0,6.1,5.0,7.3,100.0,, , ,43.7,68.8,44.5,16.4,51.1,7.7,11.4,41.9,8.5,37.5,0.7,25.1,26.3,23.1,11.6,7.2,4.2,1.7,0.5,0.3,0.1,,,0,,
