,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
87,89,SL,SLE,Sierra Leone,2013,SLEt,Total,26.9,3.7,2.7,4.8,31.2,,32.7,7.3,14.1,58.5,13.5,15.0,58.8,5.4,58.4,4.9,41.7,4.5,50.5,33.0,22.3,13.7,11.4,7.6,5.3,4.0,2.0,0.6,0.1,,,0,,
88,90,SL,SLE,Sierra Leone,2013,SLEtr,Rural,19.0,2.1,1.3,3.0,0.0,,19.7,4.5,2.9,45.8,0.8,12.0,62.9,1.0,77.4,0.4,54.7,0.4,63.2,35.6,20.8,11.7,11.3,7.8,5.5,4.3,2.2,0.6,0.1,,,0,,
89,91,SL,SLE,Sierra Leone,2013,SLEtu,Urban,44.4,6.7,5.5,8.0,100.0,,71.3,15.9,38.9,86.5,41.8,21.7,49.6,15.0,16.4,14.8,12.7,13.8,22.2,27.0,25.6,18.1,11.6,7.3,4.9,3.3,1.6,0.4,0.1,,,0,,
90,92,SL,SLE,Sierra Leone,2013,SLEr101,Bombali,24.6,3.5,2.5,4.6,28.3,,23.7,9.4,7.9,56.2,9.7,11.2,59.1,2.5,62.3,1.0,48.3,4.4,47.9,31.3,26.2,12.4,10.4,7.7,5.2,3.9,2.4,0.5,0.1,,,8623,Bombali,ADM2
91,93,SL,SLE,Sierra Leone,2013,SLEr102,Kambia,22.1,1.9,1.1,3.0,12.2,,10.5,5.5,6.1,55.9,0.6,4.5,77.0,0.9,77.0,0.1,79.1,0.5,46.7,35.9,23.0,10.5,10.0,8.8,4.9,3.7,2.1,0.9,0.1,,,8627,Kambia,ADM2
92,94,SL,SLE,Sierra Leone,2013,SLEr103,Koinadugu,16.2,1.6,1.0,2.4,8.3,,17,5,3.4,28.8,0.8,12.5,64.1,3.2,77.2,0.2,73.4,0.9,76.8,36.4,21.5,12.0,10.1,7.0,6.2,4.0,2.2,0.7,0.1,,,8629,Koinadugu,ADM2
93,95,SL,SLE,Sierra Leone,2013,SLEr104,Port Loko,22.4,2.9,2.0,4.2,14.1,,28.1,5.4,4.2,62.1,2.0,10.7,65.3,2.0,65.8,0.9,60.0,0.3,59.7,35.5,21.8,12.8,10.5,7.8,5.1,4.0,1.8,0.6,0.1,,,8632,Port Loko,ADM2
94,96,SL,SLE,Sierra Leone,2013,SLEr105,Tonkolili,21.6,2.7,1.9,3.6,10.2,,28.4,8.5,4.3,50.1,0.9,11.3,65.6,1.2,65.2,1.5,48.3,0.4,59.3,35.2,21.9,13.2,11.6,7.0,4.8,3.7,2.0,0.6,0.1,,,8634,Tonkolili,ADM2
95,97,SL,SLE,Sierra Leone,2013,SLEr106,Kailahun,18.1,3.0,2.0,4.3,16.0,,28,4.5,2.5,37.8,0.9,17.1,55.8,1.1,81.5,2.9,41.1,0.5,64.9,34.6,18.5,10.9,13.0,7.8,6.1,4.6,2.7,1.2,0.5,,,8626,Kailahun,ADM2
96,98,SL,SLE,Sierra Leone,2013,SLEr107,Kenema,27.7,3.4,2.4,4.5,38.8,,33.3,4.6,12.9,59.4,16.1,14.7,58.2,3.9,59.5,3.0,22.8,2.6,43.5,31.7,21.8,13.1,11.8,7.9,5.8,5.0,2.1,0.5,0.3,,,8628,Kenema,ADM2
97,99,SL,SLE,Sierra Leone,2013,SLEr108,Kono,20.5,2.6,1.6,3.8,25.4,,34,4.9,2.9,42.4,1.1,13.4,59.8,1.6,69.7,0.4,38.2,1.4,50.3,35.8,23.0,12.1,10.6,7.9,4.8,3.7,1.7,0.3,0.1,,,8630,Kono,ADM2
98,100,SL,SLE,Sierra Leone,2013,SLEr109,Bo,27.6,3.6,2.6,4.7,28.4,,33.4,7.9,14.9,56.9,15.4,14.5,58.3,2.6,54.0,0.7,27.4,2.6,40.2,35.7,22.0,13.0,11.2,7.5,5.0,3.5,1.6,0.4,0.1,,,8625,Bo,ADM2
99,101,SL,SLE,Sierra Leone,2013,SLEr110,Bonthe,18.8,2.3,1.8,2.8,16.6,,17.8,2.6,3.2,50.3,0.5,10.1,64.6,0.8,67.7,0.3,68.7,0.4,81.7,32.6,23.4,14.2,10.7,7.4,5.8,3.7,1.7,0.5,0.1,,,8624,Bonthe,ADM2
100,102,SL,SLE,Sierra Leone,2013,SLEr111,Moyamba,18.0,2.3,1.5,3.3,5.7,,12.4,3.8,2.2,47.7,0.7,10.1,68.3,0.7,79.4,0.3,66.9,1.0,70.6,32.7,20.3,12.0,11.7,8.0,7.1,4.5,2.6,0.9,0.2,,,8631,Moyamba,ADM2
101,103,SL,SLE,Sierra Leone,2013,SLEr112,Pujehun,22.7,1.9,1.4,2.4,14.1,,37.1,4.5,2.3,62.2,0.9,15.1,56.3,1.7,70.9,0.6,26.1,1.0,57.7,37.9,18.0,10.9,11.7,7.3,6.0,4.9,2.6,0.6,0.2,,,8633,Pujehun,ADM2
102,104,SL,SLE,Sierra Leone,2013,SLEr113,Western,50.7,7.3,6.1,8.5,91.9,,72.7,16.8,55.7,91.5,58.2,29.6,39.7,23.4,10.3,24.7,9.3,21.0,20.1,25.3,24.5,20.6,12.7,7.5,4.5,3.2,1.4,0.3,0.1,,,0,,
